<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
SBER;D;20181214;0;184.93;73219440
SBER;D;20181217;0;182.3;59793100
SBER;D;20181218;0;186.6;79653690
SBER;D;20181219;0;188.85;61556660
SBER;D;20181220;0;189.3;87727280
SBER;D;20181221;0;186.79;60615750
SBER;D;20181224;0;184.3;32561380
SBER;D;20181225;0;183.3;34631200
SBER;D;20181226;0;183.4;30069720
SBER;D;20181227;0;185;47328110
SBER;D;20181228;0;186.5;39791870
SBER;D;20181229;0;186.3;9136600
SBER;D;20190103;0;186.99;40105780
SBER;D;20190104;0;190.99;32537090
SBER;D;20190108;0;191.24;38581950
SBER;D;20190109;0;197;70633230
SBER;D;20190110;0;196.75;56211650
SBER;D;20190111;0;196.8;63643670
SBER;D;20190114;0;196.8;44643520
SBER;D;20190115;0;198;52994790
SBER;D;20190116;0;201.26;62392390
SBER;D;20190117;0;203.32;59827610
SBER;D;20190118;0;208.44;74159420
SBER;D;20190121;0;207.17;55401630
SBER;D;20190122;0;207.95;51269620
SBER;D;20190123;0;210.4;79629180
SBER;D;20190124;0;212.2;78312890
SBER;D;20190125;0;212;58500020
SBER;D;20190128;0;209.7;56384930
SBER;D;20190129;0;213.61;63896190
SBER;D;20190130;0;213.14;59281660
SBER;D;20190131;0;217.9;80129070
SBER;D;20190201;0;216.29;55398450
SBER;D;20190204;0;215.5;40874530
SBER;D;20190205;0;217.85;46589060
SBER;D;20190206;0;216.59;46139530
SBER;D;20190207;0;211.01;69155220
SBER;D;20190208;0;210.43;51480680
SBER;D;20190211;0;214;49597150
SBER;D;20190212;0;219.1;73524360
SBER;D;20190213;0;213.9;85042730
SBER;D;20190214;0;204.43;154867810
SBER;D;20190215;0;208;78872640
SBER;D;20190218;0;204.19;76368650
SBER;D;20190219;0;202.08;66628330
SBER;D;20190220;0;206.89;66614210
SBER;D;20190221;0;203.41;68058950
SBER;D;20190222;0;205.25;45737340
SBER;D;20190225;0;205.86;70760670
SBER;D;20190226;0;205.8;50742950
SBER;D;20190227;0;205.4;54017660
SBER;D;20190228;0;207.8;62293690
SBER;D;20190301;0;206.54;46000050
SBER;D;20190304;0;205.5;31471880
SBER;D;20190305;0;202.92;46296020
SBER;D;20190306;0;205;52926540
SBER;D;20190307;0;203.95;46053890
SBER;D;20190311;0;205.25;42374840
SBER;D;20190312;0;205.1;42016460
SBER;D;20190313;0;206;28504220
SBER;D;20190314;0;203.66;43825330
SBER;D;20190315;0;203.55;35811130
SBER;D;20190318;0;205.9;40789510
SBER;D;20190319;0;207.7;47705420
SBER;D;20190320;0;209.8;55498860
SBER;D;20190321;0;210.61;66856470
SBER;D;20190322;0;207.7;49381080
SBER;D;20190325;0;214;107953490
SBER;D;20190326;0;218;81274550
SBER;D;20190327;0;214.1;71870510
SBER;D;20190328;0;215.07;47481780
SBER;D;20190329;0;214.42;85726830
SBER;D;20190401;0;217.7;51669790
SBER;D;20190402;0;218.23;49132320
SBER;D;20190403;0;219.05;91987840
SBER;D;20190404;0;221.8;51920220
SBER;D;20190405;0;227.5;77930270
SBER;D;20190408;0;232.3;70830180
SBER;D;20190409;0;238;117168650
SBER;D;20190410;0;243.68;129029970
SBER;D;20190411;0;238.86;105320630
SBER;D;20190412;0;239.5;96065730
SBER;D;20190415;0;237.8;47848560
SBER;D;20190416;0;233.24;86383980
SBER;D;20190417;0;234.3;70133760
SBER;D;20190418;0;232.79;55682060
SBER;D;20190419;0;232.6;12238240
SBER;D;20190422;0;235.41;44233210
SBER;D;20190423;0;235.67;56823030
SBER;D;20190424;0;236;43602000
SBER;D;20190425;0;227.8;100789420
SBER;D;20190426;0;223.18;94039040
SBER;D;20190429;0;228.8;48768500
SBER;D;20190430;0;225.17;63392980
SBER;D;20190502;0;229.1;36429060
SBER;D;20190503;0;232.52;47604250
SBER;D;20190506;0;232.8;48147810
SBER;D;20190507;0;231.49;46470700
SBER;D;20190508;0;230;42255720
SBER;D;20190510;0;227;43963230
SBER;D;20190513;0;224.22;47065110
SBER;D;20190514;0;227.88;76555100
SBER;D;20190515;0;228.69;61009200
SBER;D;20190516;0;228.19;40094740
SBER;D;20190517;0;226.94;28412300
SBER;D;20190520;0;226;30088250
SBER;D;20190521;0;232.71;59067410
SBER;D;20190522;0;235.86;59371310
SBER;D;20190523;0;229.3;51293570
SBER;D;20190524;0;234.45;65680760
SBER;D;20190527;0;236;27752790
SBER;D;20190528;0;233.19;74031020
SBER;D;20190529;0;233.4;51364080
SBER;D;20190530;0;232.75;36306660
SBER;D;20190531;0;233.24;53296760
SBER;D;20190603;0;239.95;84406830
SBER;D;20190604;0;236;69935260
SBER;D;20190605;0;239;52756470
SBER;D;20190606;0;244.89;61323390
SBER;D;20190607;0;248.28;68267530
SBER;D;20190610;0;249;62543690
SBER;D;20190611;0;235.89;67252510
SBER;D;20190613;0;240.49;75143890
SBER;D;20190614;0;238.8;50167230
SBER;D;20190617;0;237.8;33592970
SBER;D;20190618;0;241.8;48909090
SBER;D;20190619;0;240.4;33760330
SBER;D;20190620;0;244.1;64284450
SBER;D;20190621;0;238.02;60981900
SBER;D;20190624;0;239.09;27673280
SBER;D;20190625;0;236.7;38507450
SBER;D;20190626;0;240.59;39691210
SBER;D;20190627;0;240.5;48108550
SBER;D;20190628;0;238.55;33373530
SBER;D;20190701;0;242.98;50562960
SBER;D;20190702;0;241.2;28531390
SBER;D;20190703;0;241.51;32693350
SBER;D;20190704;0;242.82;25303020
SBER;D;20190705;0;242.83;27841230
SBER;D;20190708;0;243.3;28458070
SBER;D;20190709;0;242.74;26334670
SBER;D;20190710;0;243.76;41586230
SBER;D;20190711;0;241.3;33101970
SBER;D;20190712;0;237.02;47658170
SBER;D;20190715;0;235.27;44987070
SBER;D;20190716;0;234.75;36144200
SBER;D;20190717;0;234.63;33512230
SBER;D;20190718;0;234.78;22818540
SBER;D;20190719;0;232.85;34586080
SBER;D;20190722;0;230.35;37930900
SBER;D;20190723;0;232.48;36306690
SBER;D;20190724;0;230.65;27236550
SBER;D;20190725;0;232.9;33004560
SBER;D;20190726;0;230.55;25904020
SBER;D;20190729;0;232.8;18366190
SBER;D;20190730;0;236;34773990
SBER;D;20190731;0;233.49;50356650
SBER;D;20190801;0;229.5;56032690
SBER;D;20190802;0;220.81;94010550
SBER;D;20190805;0;222.24;49041610
SBER;D;20190806;0;226.01;48720730
SBER;D;20190807;0;222.25;49530250
SBER;D;20190808;0;223.93;31144010
SBER;D;20190809;0;220.67;31478890
SBER;D;20190812;0;222.3;28695760
SBER;D;20190813;0;223.18;46706040
SBER;D;20190814;0;217.11;52004130
SBER;D;20190815;0;214.59;68165210
SBER;D;20190816;0;215.05;38353770
SBER;D;20190819;0;217.4;37521900
SBER;D;20190820;0;216;36984710
SBER;D;20190821;0;218.62;42898300
SBER;D;20190822;0;219.5;45670450
SBER;D;20190823;0;219.5;54739920
SBER;D;20190826;0;218.5;34995860
SBER;D;20190827;0;217.89;51323830
SBER;D;20190828;0;218.3;30139230
